"Response ID","Time Started","Date Submitted","Status","Legacy Comments","Comments","Language","Referer","Extended Referer","SessionID","User Agent","Extended User Agent","Tags","Participant ID","Gender","Other - Write In:Gender","Age","How would you rate your understanding of information visualization systems?","How would you rate your understanding of touch tablet systems (like ipads etc.)?","How would you rate your understanding of touch tablet information visualization systems? (like Vizable or RoamBI)","What touch devices have you used/ interacted with in the past 1 year? ( List as many as you can remember)","What analytical or visualization systems have you used or interacted with in the past one year? (List as many as you can remember. Write NA/none if none)","What operating systems have you interacted with or used in the past one year? Include mobile, tablets as well as computers/ laptops. (List as many as you can remember)","Which system did you interact with?","On a scale of 1 (None) to 4 (High), rate how confident do you feel that you have learned the system enough to perform a task that might be given in the study? The tasks involve basic analytical questions and queries such as finding values satisfying certain criteria or identifying a trend or relation etc.","On a scale of 1 (Very little) to 4 (High), how motivated are you to continue using the system for the study? ","Which system did you interact with?","On a scale of 1 (None) to 4 (High), rate how confident do you feel that you have learned the system enough to perform a task that might be given in the study? The tasks involve basic analytical questions and queries such as finding values satisfying certain criteria or identifying a trend or relation etc.","On a scale of 1 (Very little) to 4 (High), how motivated are you to continue using the system for the study? ","URL Redirect"
"1","Mar 14, 2016 3:10:12 PM","Mar 14, 2016 3:43:02 PM","Complete","","","English","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","1457976824_56e6f5f8472a39.03322162","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Saf","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36","","200","Male","","30","High: I am very familiar with the idea of information visualization and have used several applications","Very familiar: I interact with/use a touch tablet system very often (say, almost daily)","Low: I have seen  a touch tablet information visualization system before or an online video of one","I phone, I pad, PS Vita","Tableau, Spotfire, JIgsaw, Qlikview","Windows 10, 7, 8, Max OS","Vizable","4","4","Prototype System","4","4",""
"2","Mar 14, 2016 4:12:06 PM","Mar 14, 2016 4:44:12 PM","Complete","","","English","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","1457985440_56e717a03908c9.00436580","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Saf","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36","","201","Female","","26","High: I am very familiar with the idea of information visualization and have used several applications","Reasonably familiar :  I have used touch systems a few times ( say less than 5 times in the past month)","Low: I have seen  a touch tablet information visualization system before or an online video of one","iPhone 5c","Tableau Spotfire D3 Excel Google Charts Highcharts","iOS Mac ","Prototype System","3","4","Vizable","3","4",""
"3","Mar 14, 2016 6:19:11 PM","Mar 14, 2016 6:52:03 PM","Complete","","","English","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","1457993801_56e7384985d812.73494542","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Saf","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36","","203","Male","","26","High: I am very familiar with the idea of information visualization and have used several applications","Very familiar: I interact with/use a touch tablet system very often (say, almost daily)","Low: I have seen  a touch tablet information visualization system before or an online video of one","phones, tablets","tableau, d3","ubuntu","Prototype System","3","3","Vizable","3","4",""
"4","Mar 15, 2016 1:25:15 PM","Mar 15, 2016 1:57:41 PM","Complete","","","English","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","1458061333_56e84015ad9a45.84169461","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","209","Male","","26","High: I am very familiar with the idea of information visualization and have used several applications","Reasonably familiar :  I have used touch systems a few times ( say less than 5 times in the past month)","None: I have not used or seen a touch tablet information visualization system before","Samsung Tab","Tableau, d3, excel, lyra, iVisDesigner, RAW","OSX, Android, iOS","Prototype System","3","4","Vizable","3","4",""
"5","Mar 15, 2016 6:13:08 PM","Mar 15, 2016 6:51:38 PM","Complete","","","English","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","1458079640_56e887988b8416.23508112","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","205","Male","","23","High: I am very familiar with the idea of information visualization and have used several applications","Fairly familiar:  I use touch tablet systems occasionally","Low: I have seen  a touch tablet information visualization system before or an online video of one","iPad","Tableau Spotfire Qliksense Excel","Ubuntu 14.04 Trusty Tahr OSX El Capitan Android Lollipop Android Marshmellow iOS 8.0","Vizable","3","3","Prototype System","4","4",""
"6","Mar 16, 2016 1:08:12 PM","Mar 16, 2016 1:46:38 PM","Complete","","","English","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","1458148006_56e992a62dc7a1.06956786","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","204","Female","","24","High: I am very familiar with the idea of information visualization and have used several applications","Very familiar: I interact with/use a touch tablet system very often (say, almost daily)","None: I have not used or seen a touch tablet information visualization system before","ipad, itouch, iphone","tableau, excel","not i can recall","Vizable","3","3","Prototype System","3","3",""
"7","Mar 16, 2016 2:12:52 PM","Mar 16, 2016 2:45:43 PM","Complete","","","English","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","1458151920_56e9a1f02f6b42.36708771","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","206","Female","","21","High: I am very familiar with the idea of information visualization and have used several applications","Very familiar: I interact with/use a touch tablet system very often (say, almost daily)","Fair: I have interacted with a touch tablet information visualization occasionally and understand what they do","phone/ipad/nexus tablet","tableau, coding in javascript with d3","mobile/computer-mac","Prototype System","3","4","Vizable","3","4",""
"8","Mar 16, 2016 3:16:08 PM","Mar 16, 2016 3:47:23 PM","Complete","","","English","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","1458155105_56e9ae619a33a8.83603676","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","207","Male","","23","Fair: I have used applications like Tableau,  Excel, QlikView etc. occasionally (say,less than 10 times in the past year)","Very familiar: I interact with/use a touch tablet system very often (say, almost daily)","Low: I have seen  a touch tablet information visualization system before or an online video of one","iPad iPhone Touch-screen computer ","Tableau Excel D3","iOS Mac OSX Ubuntu Cloudera Windows 10","Vizable","4","4","Prototype System","3","4",""
"9","Mar 16, 2016 5:11:15 PM","Mar 16, 2016 5:53:02 PM","Complete","","","English","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","1458159977_56e9c169e59a12.13238439","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","210","Male","","23","Fair: I have used applications like Tableau,  Excel, QlikView etc. occasionally (say,less than 10 times in the past year)","Very familiar: I interact with/use a touch tablet system very often (say, almost daily)","None: I have not used or seen a touch tablet information visualization system before","ipad, iphone, andriod phone","Tableau, Excel, matlab","Windows, OS X, andriod","Prototype System","3","4","Vizable","3","2",""
"10","Mar 17, 2016 12:10:06 PM","Mar 17, 2016 12:46:04 PM","Complete","","","English","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","1458230935_56ead697345216.17921930","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","208","Male","","22","Fair: I have used applications like Tableau,  Excel, QlikView etc. occasionally (say,less than 10 times in the past year)","Very familiar: I interact with/use a touch tablet system very often (say, almost daily)","Low: I have seen  a touch tablet information visualization system before or an online video of one","iPhone iPad Apple Watch Old GPS Various Android phones","Tableau, Excel, Python matplotlib package, Matlab plotting functions, Google Charts","Mac OS X iOS  Android Windows Ubuntu WatchOS","Prototype System","3","4","Vizable","2","4",""
"11","Mar 17, 2016 1:14:56 PM","Mar 17, 2016 1:54:10 PM","Complete","","","English","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","1458234882_56eae6026fc718.03485892","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","211","Male","","22","High: I am very familiar with the idea of information visualization and have used several applications","Fairly familiar:  I use touch tablet systems occasionally","None: I have not used or seen a touch tablet information visualization system before","Android tablet Android Phones Windows Phones Touch screen laptop ","Qlik Tableau D3 Spotfire Excel","Linux Windows 7, 10 Mac OS X Android ","Prototype System","4","4","Vizable","2","2",""
"12","Mar 17, 2016 3:06:57 PM","Mar 17, 2016 3:44:19 PM","Complete","","","English","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","1458241000_56eafde83a43c4.24895114","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","213","Male","","46","Fair: I have used applications like Tableau,  Excel, QlikView etc. occasionally (say,less than 10 times in the past year)","Fairly familiar:  I use touch tablet systems occasionally","Low: I have seen  a touch tablet information visualization system before or an online video of one","Android smartphone","Excel","Windows 7, Android","Prototype System","2","3","Vizable","2","2",""
"13","Mar 17, 2016 4:13:06 PM","Mar 17, 2016 4:48:31 PM","Complete","","","English","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","1458245517_56eb0f8de665b3.98411528","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","215","Female","","21","Fair: I have used applications like Tableau,  Excel, QlikView etc. occasionally (say,less than 10 times in the past year)","Very familiar: I interact with/use a touch tablet system very often (say, almost daily)","Low: I have seen  a touch tablet information visualization system before or an online video of one","MOBILE PHONES TABLETS INTERACTIVE DISPLAYS IN BUILDINGS","d3.js jquery tableau gephi openrefine weka aws - emr s3 ec2 ","OS X WINDOWS 7,8 UBUNTU","Prototype System","4","4","Vizable","4","4",""
"14","Mar 17, 2016 4:55:57 PM","Mar 17, 2016 5:40:45 PM","Complete","","","English","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","1458248119_56eb19b78e0e94.79518776","Mozilla/5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 ","Mozilla/5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1","","217","Female","","26","Fair: I have used applications like Tableau,  Excel, QlikView etc. occasionally (say,less than 10 times in the past year)","Less familiar: Only interacted with them a handful of times ( say less than 10 times totally)","None: I have not used or seen a touch tablet information visualization system before","Iphone, Android Smartphones, Kindle, iPad, Touchscreen laptops, Windows Surface ","Tableau, cartoDb, Spotfire, D3, OpenRefine","Android, iOS, Mac, Windows","Vizable","2","3","Prototype System","3","4",""
"15","Mar 18, 2016 10:15:28 AM","Mar 18, 2016 10:57:49 AM","Complete","","","English","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","1458310039_56ec0b970929f4.51934523","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","219","Female","","28","High: I am very familiar with the idea of information visualization and have used several applications","Fairly familiar:  I use touch tablet systems occasionally","None: I have not used or seen a touch tablet information visualization system before","Dell venue 8 pro, Ipad, Nexus 7","Tableau, Many eyes, Excel, Voyager, etc","Win 8, OS X, Ubuntu, Android","Prototype System","4","3","Vizable","3","2",""
"16","Mar 18, 2016 12:10:46 PM","Mar 18, 2016 12:45:34 PM","Complete","","","English","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","1458317252_56ec27c4bbd085.80749019","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","220","Female","","23","Fair: I have used applications like Tableau,  Excel, QlikView etc. occasionally (say,less than 10 times in the past year)","Fairly familiar:  I use touch tablet systems occasionally","None: I have not used or seen a touch tablet information visualization system before","A smart phone Tablet","Tableau, Qlik View","Android, Windows 8.1, 10, Ubuntu","Vizable","4","4","Prototype System","3","3",""
"17","Mar 18, 2016 2:10:16 PM","Mar 18, 2016 2:44:36 PM","Complete","","","English","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","1458324327_56ec436717a729.58394485","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","214","Male","","21","Fair: I have used applications like Tableau,  Excel, QlikView etc. occasionally (say,less than 10 times in the past year)","Very familiar: I interact with/use a touch tablet system very often (say, almost daily)","None: I have not used or seen a touch tablet information visualization system before","iPad","Tableau Excel","iOS Windows","Vizable","2","2","Prototype System","2","2",""
"18","Mar 18, 2016 3:13:34 PM","Mar 18, 2016 3:48:57 PM","Complete","","","English","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","1458328350_56ec531e3fc791.71704568","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","212","Male","","25","Fair: I have used applications like Tableau,  Excel, QlikView etc. occasionally (say,less than 10 times in the past year)","Very familiar: I interact with/use a touch tablet system very often (say, almost daily)","Low: I have seen  a touch tablet information visualization system before or an online video of one","smartphones - samsung, htc, nokia, LG, Motorola tablets - Nexus, IPads","excel, tableau","android, ubuntu, windows, solaris","Vizable","3","3","Prototype System","3","4",""
"19","Mar 18, 2016 5:06:07 PM","Mar 18, 2016 5:51:31 PM","Complete","","","English","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","1458334813_56ec6c5dcdcdd6.16702251","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","216","Female","","25","Fair: I have used applications like Tableau,  Excel, QlikView etc. occasionally (say,less than 10 times in the past year)","Very familiar: I interact with/use a touch tablet system very often (say, almost daily)","None: I have not used or seen a touch tablet information visualization system before","Android Smart Phone iPad iPhone Android Smartwatch","Excel ","iOS Mac OSx Android Windows  ","Vizable","2","2","Prototype System","3","4",""
"20","Mar 21, 2016 10:15:31 AM","Mar 21, 2016 10:54:15 AM","Complete","","","English","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","1458568939_56effeeb63bc07.15801959","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","218","Male","","25","High: I am very familiar with the idea of information visualization and have used several applications","Fairly familiar:  I use touch tablet systems occasionally","Low: I have seen  a touch tablet information visualization system before or an online video of one","tablet, phone","tableau, spotfire","Mac, Windows, Android, iOS","Prototype System","4","4","Vizable","3","3",""
